topic,subtopic,calc_type,marks,question_text,answer,difficulty,source_notes
Functions,Properties of Functions,calc,6,"The function $f$ is deﬁned by $f(x)=\sqrt[3]{2 x+1}$, for $-14 \leq x \leq 13$.
(a) Write down the range of $f$.
(b) Find an expression for $f^{-1}$.
(c) Write down the domain and range of $f^{-1}$.",,,
Functions,Properties of Functions,calc,6,"A tyre manufacturing company has found that the number of tyres it produces, $N$, can be modelled by the function
$$N(t)=3 t-9$$
where $t$ is the number of hours the factory operates per day, with a minimum of 3 hours.
The proﬁt the company makes, $P$, in dollars, depends on the number of tyres produced, and is modelled by the function
$$P(N)=60 N-850$$
where $N$ is the number of tyres produced.
(a) Find the company's proﬁt or loss if it operates for 6 hours per day.
(b) Find the company's proﬁt in terms of the hours of operation per day, $t$.
(c) Determine the number of hours the company needs to operate the factory per day in order to earn a positive proﬁt. Give your answer to the nearest hour.",,,
Functions,Properties of Functions,calc,6,"Let $f(x)=x^{3}$ and $g(x)=2 x-1$, for $x \in \mathbb{R}$.
(a) Find $g^{-1}(x)$.
(b) Find $(g \circ f)(x)$.
(c) Solve the equation $(g \circ f)(x)=0$.",,,
Functions,Properties of Functions,no_calc,5,"Let $f(x)=4 x-3$ and $g(x)=2 x$, for $x \in \mathbb{R}$.
(a) Write down the value of $g(5)$.
(b) Find $(f \circ g)(x)$.
(c) Find $(f \circ g)^{-1}(x)$.",,,
Functions,Properties of Functions,no_calc,6,"Let $f(x)=\sqrt{x-3}$, for $x \geq 3$.
(a) Find $f^{-1}(x)$.
Let $g(x)=x^{2}+1$, for $x \in \mathbb{R}$.
(b) Find $(g \circ f)(28)$.
(c) Write down the range of:
(i) $f^{-1}$;
(ii) $g$.",,,
Functions,Properties of Functions,no_calc,5,"The functions $f$ and $g$ are deﬁned such that $f(x)=\frac{x-2}{3}$ and $g(x)=12 x+4$.
(a) Show that $(g \circ f)(x)=4 x-4$.
(b) Given that $(g \circ f)^{-1}(a)=10$, ﬁnd the value of $a$.",,,
Functions,Quadratics,calc,7,"Let $f(x)=-6 x^{2}+b x+c$, for $x \in \mathbb{R}$, where $b, c \in \mathbb{Z}$.
(a) A horizontal line, $L$, intersects the graph of $y=f(x)$ at $(-1, h)$ and $(5, h)$, where $h \in \mathbb{R}$.
(i) Find the equation of the axis of symmetry of the graph of $y=f(x)$.
(ii) Hence show that $b=24$.
(b) Given $h=-8$, ﬁnd the value of $c$.",,,
Functions,Quadratics,calc,5,Find the equations of the two tangents to the curve $y=2 x^{2}-x+\frac{9}{2}$ that pass through the origin.,,,
Functions,Quadratics,no_calc,5,"Let $f(x)=a(x-h)^{2}+k$, for $x \in \mathbb{R}$.
The vertex of the graph of $f$ is at $\mathrm{P}(3,4)$ and the graph passes through $\mathrm{Q}(1,-4)$.
(a) Write down the values of $h$ and $k$.
(b) Find the value of $a$.",,,
Functions,Quadratics,no_calc,5,"The equation $x^{2}+k x+4=0$ has two equal roots.
Find the possible values of $k$.",,,
